,text,intersection,coordinates.coordinates,created_at,place.bounding_box.coordinates,place.country,place.country_code,place.full_name,user.created_at,user.location
38,Major Crash on I-20 EB @ MP190.3 at Exit 188: US431 N/Leon Smith Pkwy in Anniston. Road closed. Seek alternate rout… https://t.co/PEPGm60UiB,,"[-85.75, 33.613]",Sun Jan 13 06:36:31 +0000 2019,"[[[-85.9258251, 33.552521], [-85.715332, 33.552521], [-85.715332, 33.639362], [-85.9258251, 33.639362]]]",United States,US,"Oxford, AL",Thu Apr 25 12:37:19 +0000 2013,Alabama
39,Closed due to road construction in #Southside on S Sam Houston Tollway EB between Hwy 288 and Cullen #traffic https://t.co/vuUN2yElDh,,"[-95.37297, 29.59789]",Sun Jan 13 03:39:54 +0000 2019,"[[[-95.823268, 29.522325], [-95.069705, 29.522325], [-95.069705, 30.1546646], [-95.823268, 30.1546646]]]",United States,US,"Houston, TX",Wed Feb 09 21:09:17 +0000 2011,"Houston, TX"
40,Southbound 101 freeway still closed at lost hills. Agoura Road is jam southbound. Heading to the Civic arts Plaza f… https://t.co/tWzhAVh47x,,,Sun Jan 13 03:27:57 +0000 2019,"[[[-118.719985, 34.105958], [-118.605227, 34.105958], [-118.605227, 34.168562], [-118.719985, 34.168562]]]",United States,US,"Calabasas, CA",Sun Nov 09 04:02:49 +0000 2014,"Westlake Village, CA"
41,Road closed due to broken water main in #Phoenix on 7th Ave Both NB/SB at Deer Vly Rd #PHXtraffic https://t.co/hUIi7YWVvM,th Ave Both NB/SB at Deer Vly Rd ,"[-112.0829, 33.68369]",Sun Jan 13 03:11:01 +0000 2019,"[[[-112.3239143, 33.29026], [-111.9254391, 33.29026], [-111.9254391, 33.8154652], [-112.3239143, 33.8154652]]]",United States,US,"Phoenix, AZ",Wed Feb 09 22:48:40 +0000 2011,"Phoenix, AZ"
42,Manchester road off Wayne avenue is closed off by police. Giving traffic delivery updated as I see them,,,Sun Jan 13 01:32:58 +0000 2019,"[[[-77.064086, 38.979735], [-76.97162, 38.979735], [-76.97162, 39.036964], [-77.064086, 39.036964]]]",United States,US,"Silver Spring, MD",Fri Jun 04 22:16:11 +0000 2010,"D.C. Born, Silver spring now"
43,West Hempfield Township Police confirm fatal accident on Marietta Avenue in Lancaster County. The road is currently… https://t.co/ftHm6cR2DU,,,Sun Jan 13 01:14:39 +0000 2019,"[[[-80.519851, 39.719801], [-74.689517, 39.719801], [-74.689517, 42.516072], [-80.519851, 42.516072]]]",United States,US,"Pennsylvania, USA",Fri Jun 03 14:33:33 +0000 2011,FL ✈️ NYC ✈️  PA
44,"I suspected the trails would be closed, but it’s OK. The road offers enough nature fix...much needed today. 💔 (@ To… https://t.co/aLYGiFbdCL",,"[-117.25225918, 32.91935537]",Sat Jan 12 23:39:08 +0000 2019,"[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]",United States,US,"San Diego, CA",Mon Oct 05 05:31:34 +0000 2009,Wandering So-Cal-ian
45,Major Crash on US11 SB @ MP83.8 at Hargrove Rd E in Tuscaloosa. Road closed. Seek alternate route. More details: https://t.co/363ni1q7XY,,"[-87.486176, 33.170586]",Sat Jan 12 22:32:32 +0000 2019,"[[[-87.626729, 33.098411], [-87.440084, 33.098411], [-87.440084, 33.29479], [-87.626729, 33.29479]]]",United States,US,"Tuscaloosa, AL",Thu Apr 25 12:37:19 +0000 2013,Alabama
46,"Northbound US 101 at Las Virgenes Road is OPEN, but slow because the southbound lanes will remain closed for an inv… https://t.co/QOokrzqoUD",,,Sat Jan 12 22:32:05 +0000 2019,"[[[-118.932832, 34.257033], [-118.820164, 34.257033], [-118.820164, 34.309133], [-118.932832, 34.309133]]]",United States,US,"Moorpark, CA",Thu Feb 04 03:05:41 +0000 2016,"Moorpark, CA"
47,"Romer Rd will be closed between Glendale and Northland for the next couple hours due to a crash, No injuries. Thank… https://t.co/BAv5gbDiFz",,,Sat Jan 12 22:19:39 +0000 2019,"[[[-88.451199, 44.221575], [-88.335679, 44.221575], [-88.335679, 44.33491], [-88.451199, 44.33491]]]",United States,US,"Appleton, WI",Mon Apr 30 21:47:23 +0000 2012,"Appleton, WI"
48,All eastbound lanes are closed due to snow and ice on the road. in #Valyermo on Angeles Crest Hwy EB between CA-39 and Big Pines Hwy,,"[-117.8511, 34.35686]",Sat Jan 12 22:13:01 +0000 2019,"[[[-124.482003, 32.528832], [-114.131212, 32.528832], [-114.131212, 42.009519], [-124.482003, 42.009519]]]",United States,US,"California, USA",Wed Aug 12 21:43:18 +0000 2009,Southern California
49,@alaska511 It would help to know which road is closed.,,,Sat Jan 12 21:37:00 +0000 2019,"[[[-122.582956, 45.401455], [-122.575341, 45.401455], [-122.575341, 45.406516], [-122.582956, 45.406516]]]",United States,US,"Johnson City, OR",Sun Apr 03 01:17:28 +0000 2011,"Anchorage, AK"
50,"Single vehicle crash roll over River Road in the area of number 66. Roadway will be closed temporarily, expect dela… https://t.co/iblogZzF2w",,,Sat Jan 12 21:31:31 +0000 2019,"[[[-73.508143, 41.187054], [-69.858861, 41.187054], [-69.858861, 42.8868241], [-73.508143, 42.8868241]]]",United States,US,"Massachusetts, USA",Fri Nov 30 18:01:16 +0000 2012,"Sturbridge, MA"
51,Cougar fans traveling to Lakeland for the Girls NECC championship game. State Road 9 is closed in Wolcottville due… https://t.co/Be4mIPlhAM,,,Sat Jan 12 21:29:44 +0000 2019,"[[[-88.097892, 37.771743], [-84.78458, 37.771743], [-84.78458, 41.761368], [-88.097892, 41.761368]]]",United States,US,"Indiana, USA",Tue Apr 07 22:13:19 +0000 2009,Indiana
52,"Road construction, right lane closed in #Dallas on 30 EB approaching Jim Miller Rd, stop and go traffic back to Lawnview Ave #DFWTraffic",,"[-96.70003, 32.7939]",Sat Jan 12 19:13:26 +0000 2019,"[[[-96.977527, 32.620678], [-96.54598, 32.620678], [-96.54598, 33.019039], [-96.977527, 33.019039]]]",United States,US,"Dallas, TX",Thu May 21 21:15:33 +0000 2009,Dallas/Fort Worth
53,"I’m waiting for Josie to walk to me at a point where the road is closed off by a snow plow that went off the road,… https://t.co/60pj6BenoV",,,Sat Jan 12 18:28:14 +0000 2019,"[[[-90.529632, 38.437456], [-90.423923, 38.437456], [-90.423923, 38.541479], [-90.529632, 38.541479]]]",United States,US,"Murphy, MO",Thu Mar 19 06:56:23 +0000 2009,"St Louis, MO"
54,Closed due to road construction in #Cambridge on Memorial Dr WB before Mass Ave and Vassar St #traffic https://t.co/AoTr5OKtFq,,"[-71.09265, 42.35725]",Sat Jan 12 17:43:49 +0000 2019,"[[[-71.160356, 42.352429], [-71.064398, 42.352429], [-71.064398, 42.4039663], [-71.160356, 42.4039663]]]",United States,US,"Cambridge, MA",Tue Feb 08 23:36:19 +0000 2011,"Boston, MA"
55,Closed due to road construction in #Seattle on Virginia St Both EB/WB between Boren Ave and Minor Ave #traffic https://t.co/12UyGMOG9h,,"[-122.334, 47.61772]",Sat Jan 12 17:43:45 +0000 2019,"[[[-122.436232, 47.4953154], [-122.2249728, 47.4953154], [-122.2249728, 47.734319], [-122.436232, 47.734319]]]",United States,US,"Seattle, WA",Wed Feb 09 23:51:14 +0000 2011,"Seattle, WA"
